Datetime,p15b8k2,p17b8k4,p19b8k6,obs
2018-09-11,2.7809122,11.15947437286377,4.681580066680908,32.331818
2018-09-12,-0.9200749,2.419529676437378,-1.473740816116333,32.504547
2018-09-13,-2.2975812,-3.595442295074463,-1.6954612731933594,32.677273
2018-09-14,0.26209313,-10.124920845031738,-1.857950210571289,32.850002
2018-09-15,-1.587528,-5.6230010986328125,-0.7252153754234314,32.265415
2018-09-16,3.38966,1.5670747756958008,1.5509699583053589,31.680834
2018-09-17,9.457002,10.792583465576172,11.855741500854492,31.096252
2018-09-18,19.154558,18.656564712524414,17.185604095458984,30.511667
2018-09-19,21.476849,21.27065086364746,18.71012306213379,29.927084
2018-09-20,17.200653,20.755271911621094,16.524654388427734,29.342503
2018-09-21,17.068657,19.19951629638672,16.59727668762207,28.757917
2018-09-22,19.057903,16.24739646911621,18.338287353515625,28.173334
2018-09-23,20.608742,15.962272644042969,18.338287353515625,27.58875
2018-09-24,17.893,14.705562591552734,16.602628707885742,27.004168
2018-09-25,13.747161,16.89715576171875,13.15365982055664,26.419584
2018-09-26,18.963505,18.57599639892578,18.567049026489258,25.835001
2018-09-27,21.277168,17.474830627441406,19.614309310913086,25.250418
2018-09-28,22.93761,18.742589950561523,19.614309310913086,24.665834
2018-09-29,20.61029,18.873188018798828,19.311077117919922,24.081251
2018-09-30,22.400295,20.73955726623535,21.15458106994629,23.496666
2018-10-01,24.91093,23.78155517578125,24.364667892456055,22.912085
2018-10-02,26.036318,24.15085220336914,24.48381805419922,22.327501
2018-10-03,26.910007,25.00905418395996,23.57526397705078,21.742916
2018-10-04,24.870771,24.707965850830078,23.57526397705078,21.158335
2018-10-05,24.33683,24.057205200195312,22.554508209228516,20.573751
2018-10-06,20.207773,21.908870697021484,19.061243057250977,19.989166
2018-10-07,16.478827,18.987037658691406,16.91130828857422,19.404585
2018-10-08,2.5122318,10.727577209472656,0.3738083243370056,18.820002
2018-10-09,0.4812683,1.967889428138733,-6.181407928466797,20.567144
